Timestamp,[.] Pregistration Choice 1,[.] Pregistration Choice 2,[.] Pregistration Choice 3,[.] Pregistration Choice 4,[*] Pregistration All Choice,[.] Choice 1 Attendance,[.] Choice 2 Attendance,[.] Choice 3 Attendance,[.] Choice 4 Attendance,[*] Attendance All Choices,[.] Participant Role,[.] Belonging Planning Unit,[.] Belonging Department,[.] Belonging Division,[.] Just to see the column alone
7/20/15 15:08,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Contractor,Technology Management,Operational Support Systems,IT,TechDay
7/20/15 15:40,Block Chain -- Deepak Janardhanan,New Payment Platform -- Kumar Venkataramiah,Business Intelligence -- Pieter Camps,External Threat Intelligence --Byron Thatcher,Block Chain -- Deepak Janardhanan,Business Intelligence -- Pieter Camps,Block Chain -- Deepak Janardhanan,Combinatorial Testing -- Jerry Kickenson,,Business Intelligence -- Pieter Camps,L1 Manager,PMO,PMO,IT,TechDay
7/20/15 16:17,Business Intelligence -- Pieter Camps,Block Chain -- Deepak Janardhanan,New Payment Platform -- Kumar Venkataramiah,Containers -- Red Hat (External),Business Intelligence -- Pieter Camps,,,,,,Staff,DA & FIN Delivery,RP - FIN Bridge,IT,TechDay
7/20/15 16:44,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,,Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,Centre of Expertise,IT,TechDay
7/20/15 17:17,My Standards (Webex) -- Nicolas Ernotte,My Standards (Webex) -- Nicolas Ernotte,My Standards (Webex) -- Nicolas Ernotte,My Standards (Webex) -- Nicolas Ernotte,My Standards (Webex) -- Nicolas Ernotte,,,,,,Staff,Enterprise Application Solutions,Standards Technology ,IT,TechDay
7/20/15 18:04,Distributed Ledgers -- Jerry Kickenson,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,External Threat Intelligence --Byron Thatcher,Distributed Ledgers -- Jerry Kickenson,Business Intelligence -- Pieter Camps,New Payment Platform -- Kumar Venkataramiah,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Staff,Messaging Solutions,SWIFTNet Link,IT,TechDay
7/20/15 20:20,External Threat Intelligence --Byron Thatcher,Distributed Ledgers -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,New Payment Platform -- Kumar Venkataramiah,External Threat Intelligence --Byron Thatcher,Business Intelligence -- Pieter Camps,,,,Business Intelligence -- Pieter Camps,Staff,HR Management and CI,Talent Acquisition,Human Resources,TechDay
7/20/15 20:31,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Innovation on Data Centers -- David Nalley (External),New Payment Platform -- Kumar Venkataramiah,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Staff,Strategic Architecture,Architecture Definition,IT,TechDay
7/20/15 20:55,External Threat Intelligence --Byron Thatcher,Innovation on Data Centers -- David Nalley (External),Combinatorial Testing -- Jerry Kickenson,New Payment Platform -- Kumar Venkataramiah,External Threat Intelligence --Byron Thatcher,Innovation on Data Centers -- David Nalley (External),External Threat Intelligence --Byron Thatcher,,,Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,SCP - UNN,IT,TechDay
7/20/15 21:14,Innovation on Data Centers -- David Nalley (External),Open Stack -- Michael Solberg (Red Hat),Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),,,,,,Staff,Messaging Solutions,PKI Infrastructure,IT,TechDay
