Timestamp,[.] Pregistration Choice 1,[.] Pregistration Choice 2,[.] Pregistration Choice 3,[.] Pregistration Choice 4,[*] Pregistration All Choice,[.] Choice 1 Attendance,[.] Choice 2 Attendance,[.] Choice 3 Attendance,[.] Choice 4 Attendance,[*] Attendance All Choices,[.] Participant Role,[.] Belonging Planning Unit,[.] Belonging Department,[.] Belonging Division,[.] Just to see the column alone
7/22/15 15:54,Innovation on Data Centers -- David Nalley (External),New Payment Platform -- Kumar Venkataramiah,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Block Chain -- Deepak Janardhanan,Innovation on Data Centers -- David Nalley (External),Business Intelligence -- Pieter Camps,Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Staff,Messaging Solutions,Store & Forward,IT,TechDay
7/22/15 16:00,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Innovation on Data Centers -- David Nalley (External),External Threat Intelligence --Byron Thatcher,Combinatorial Testing -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Application Service Delivery,Management Systems,Operations,TechDay
7/22/15 16:00,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,External Threat Intelligence --Byron Thatcher,Containers -- Red Hat (External),Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,,,,,,Staff,Messaging Solutions,Identity Services & HSM,IT,TechDay
7/22/15 16:03,Block Chain -- Deepak Janardhanan,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Innovation on Data Centers -- David Nalley (External),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Block Chain -- Deepak Janardhanan,,,,,,Staff,Application Service Delivery,Business Applications,Operations,TechDay
7/22/15 16:04,External Threat Intelligence --Byron Thatcher,New Payment Platform -- Kumar Venkataramiah,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Distributed Ledgers -- Jerry Kickenson,External Threat Intelligence --Byron Thatcher,,,,,,Staff,Messaging Solutions,Database Systems,IT,TechDay
7/22/15 16:06,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Combinatorial Testing -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),External Threat Intelligence --Byron Thatcher,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,SWIFTNet Link,IT,TechDay
7/22/15 16:07,Block Chain -- Deepak Janardhanan,Combinatorial Testing -- Jerry Kickenson,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Block Chain -- Deepak Janardhanan,,,,,,Staff,DA & FIN Delivery,FIN System Integration,IT,TechDay
7/22/15 16:12,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Business Intelligence -- Pieter Camps,Internal Audit -- Bradly Vancamp,Distributed Ledgers -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,,,Staff,Enterprise Operations,Daily Operations,Operations,TechDay
7/22/15 16:27,Innovation on Data Centers -- David Nalley (External),Business Intelligence -- Pieter Camps,Distributed Ledgers -- Jerry Kickenson,External Threat Intelligence --Byron Thatcher,Innovation on Data Centers -- David Nalley (External),Business Intelligence -- Pieter Camps,Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Business Intelligence -- Pieter Camps,Staff,Messaging Solutions,Messaging Projects,IT,TechDay
7/22/15 16:28,My Standards (Webex) -- Nicolas Ernotte,Combinatorial Testing -- Jerry Kickenson,Business Intelligence -- Pieter Camps,External Threat Intelligence --Byron Thatcher,My Standards (Webex) -- Nicolas Ernotte,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Strategic Architecture,Requirements & Methodology Engineering,IT,TechDay
7/22/15 16:39,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Containers -- Red Hat (External),Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,,,Staff,Technology Management,COTS Baselines,IT,TechDay
7/22/15 17:10,Distributed Ledgers -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Open Stack -- Michael Solberg (Red Hat),Business Intelligence -- Pieter Camps,Distributed Ledgers -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Manager,Strategic Architecture,Technology Roadmap,IT,TechDay
7/22/15 17:12,Security Incident Analysis & Response -- Eric Bartel & Satya P.,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,New Payment Platform -- Kumar Venkataramiah,External Threat Intelligence --Byron Thatcher,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Product Assurance & Certification,SWIFTNet & SNL Testing,IT,TechDay
7/22/15 17:22,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,New Payment Platform -- Kumar Venkataramiah,Innovation on Data Centers -- David Nalley (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,,,Staff,Messaging Solutions,Database Systems,IT,TechDay
7/22/15 17:39,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Block Chain -- Deepak Janardhanan,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,,,Staff,DA & FIN Delivery,FIN System Integration,IT,TechDay
7/22/15 19:29,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Business Intelligence -- Pieter Camps,Innovation on Data Centers -- David Nalley (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,,,Staff,Technology Management,COTS Baselines,IT,TechDay
7/22/15 20:03,Combinatorial Testing -- Jerry Kickenson,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Business Intelligence -- Pieter Camps,Combinatorial Testing -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),,,,Innovation on Data Centers -- David Nalley (External),Staff,Technology Management,Product Assurance & Certification,IT,TechDay
7/22/15 20:25,Innovation on Data Centers -- David Nalley (External),Combinatorial Testing -- Jerry Kickenson,Containers -- Red Hat (External),Open Stack -- Michael Solberg (Red Hat),Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Manager,Technology Management,OSS Systems & Apps Mgt Dev/Maint,IT,TechDay
7/22/15 20:32,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,New Payment Platform -- Kumar Venkataramiah,Business Intelligence -- Pieter Camps,Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,,,Staff,HR Management and CI,Talent Acquisition,Human Resources,TechDay
7/22/15 21:59,Distributed Ledgers -- Jerry Kickenson,External Threat Intelligence --Byron Thatcher,Business Intelligence -- Pieter Camps,Block Chain -- Deepak Janardhanan,Distributed Ledgers -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Manager,Messaging Solutions,Messaging Projects,IT,TechDay
7/22/15 22:29,Distributed Ledgers -- Jerry Kickenson,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Open Stack -- Michael Solberg (Red Hat),Combinatorial Testing -- Jerry Kickenson,Distributed Ledgers -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,,,Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,Messaging Projects,IT,TechDay
7/22/15 23:15,Innovation on Data Centers -- David Nalley (External),My Standards (Webex) -- Nicolas Ernotte,Business Intelligence -- Pieter Camps,Open Stack -- Michael Solberg (Red Hat),Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),,Open Stack -- Michael Solberg (Red Hat),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Manager,DA & FIN Delivery,RP - FIN Bridge,IT,TechDay
7/22/15 23:19,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Distributed Ledgers -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,External Threat Intelligence --Byron Thatcher,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,Staff,Product Assurance & Certification,SM/OM Testing & Tools,IT,TechDay
7/22/15 23:31,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Combinatorial Testing -- Jerry Kickenson,External Threat Intelligence --Byron Thatcher,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Product Assurance & Certification,SWIFTNet & SNL Testing,IT,TechDay
7/22/15 23:33,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Containers -- Red Hat (External),External Threat Intelligence --Byron Thatcher,Innovation on Data Centers -- David Nalley (External),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,My Standards (Webex) -- Nicolas Ernotte,,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,My Standards (Webex) -- Nicolas Ernotte,Staff,Product Assurance & Certification,SM/OM Testing & Tools,IT,TechDay
7/22/15 23:33,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),External Threat Intelligence --Byron Thatcher,Security Incident Analysis & Response -- Eric Bartel & Satya P.,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,,,,,Staff,Product Assurance & Certification,SM/OM Testing & Tools,IT,TechDay
7/22/15 23:58,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,External Threat Intelligence --Byron Thatcher,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,,,Staff,Internal Audit,Americas Audit,Internal Audit,TechDay
7/23/15 4:21,Block Chain -- Deepak Janardhanan,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Block Chain -- Deepak Janardhanan,Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Manager,DA & FIN Delivery,FIN System Integration,IT,TechDay
7/23/15 15:52,Containers -- Red Hat (External),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Containers -- Red Hat (External),New Payment Platform -- Kumar Venkataramiah,Containers -- Red Hat (External),,,,,,Staff,Technology Management,Operational Support Systems,IT,TechDay
7/23/15 15:54,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,External Threat Intelligence --Byron Thatcher,New Payment Platform -- Kumar Venkataramiah,Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),,Contractor,Technology Management,Operational Support Systems,IT,TechDay
7/23/15 16:20,Distributed Ledgers -- Jerry Kickenson,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Block Chain -- Deepak Janardhanan,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Distributed Ledgers -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,,,Innovation on Data Centers -- David Nalley (External),Staff,CISO,"Security Policies, Intelligence&Response",IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,DA Programme Office,IT,TechDay
,,,,,,,,,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,,Staff,Technology Management,OSS Foundation & Security Dev/Maint,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,,,Innovation on Data Centers -- David Nalley (External),Manager,DA & FIN Delivery,FIN System Development,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),,,,Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,Database Systems,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Technology Management,OSS Systems & Apps Mgt Dev/Maint,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),New Payment Platform -- Kumar Venkataramiah,,,Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,Database Systems,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,SCP - UNN,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Manager,Product Assurance & Certification,SWIFTNet & SNL Testing,IT,TechDay
,,,,,,My Standards (Webex) -- Nicolas Ernotte,Block Chain -- Deepak Janardhanan,Open Stack -- Michael Solberg (Red Hat),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,My Standards (Webex) -- Nicolas Ernotte,Staff,Strategic Architecture,Technology Roadmap,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),,,,Innovation on Data Centers -- David Nalley (External),Manager,Messaging Solutions,Store & Forward,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,Database Systems,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Technology Management,OSS Systems & Apps Mgt Dev/Maint,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,Messaging Core,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),External Threat Intelligence --Byron Thatcher,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Technology Management,OSS Tools Dev/Maint,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Product Assurance & Certification,SWIFTNet & SNL Testing,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Enterprise Operations,System Administrators,Operations,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Enterprise Operations,Application Testbed Management,Operations,TechDay
,,,,,,Business Intelligence -- Pieter Camps,,,,Business Intelligence -- Pieter Camps,Staff,Messaging Solutions,Store & Forward,IT,TechDay
,,,,,,Business Intelligence -- Pieter Camps,,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,,Business Intelligence -- Pieter Camps,Staff,Messaging Solutions,Messaging Projects,IT,TechDay
,,,,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Internal Audit -- Bradly Vancamp,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Technology Management,OSS Network Dev/Maint,IT,TechDay
,,,,,,My Standards (Webex) -- Nicolas Ernotte,New Payment Platform -- Kumar Venkataramiah,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,,My Standards (Webex) -- Nicolas Ernotte,Contractor,Messaging Solutions,Messaging Development,IT,TechDay
,,,,,,My Standards (Webex) -- Nicolas Ernotte,Distributed Ledgers -- Jerry Kickenson,,,My Standards (Webex) -- Nicolas Ernotte,Contractor,Strategic Architecture,Strategic Architecture,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,,,Innovation on Data Centers -- David Nalley (External),Manager,Messaging Solutions,Database Systems,IT,TechDay
,,,,,,,Distributed Ledgers -- Jerry Kickenson,,,,Staff,NSD and DCIM,Network Operations US,Operations,TechDay
,,,,,,,Distributed Ledgers -- Jerry Kickenson,,,,Staff,Product Assurance & Certification,SM/OM Testing & Tools,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,,Innovation on Data Centers -- David Nalley (External),Staff,Technology Management,OSS Foundation & Security Dev/Maint,IT,TechDay
,,,,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Contractor,Messaging Solutions,Messaging Development,IT,TechDay
,,,,,,,Block Chain -- Deepak Janardhanan,,,,Manager,DA & FIN Delivery,FIN System Testing,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,FIN System Integration,IT,TechDay
,,,,,,Business Intelligence -- Pieter Camps,New Payment Platform -- Kumar Venkataramiah,Open Stack -- Michael Solberg (Red Hat),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Staff,Enterprise Application Solutions,Business Intelligence Systems,IT,TechDay
,,,,,,Business Intelligence -- Pieter Camps,,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Contractor,Messaging Solutions,Messaging Integration,IT,TechDay
,,,,,,,,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,Contractor,Messaging Solutions,Messaging Integration,IT,TechDay
,,,,,,Business Intelligence -- Pieter Camps,,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Contractor,Messaging Solutions,Messaging Integration,IT,TechDay
,,,,,,,,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,Contractor,Messaging Solutions,Messaging Integration,IT,TechDay
,,,,,,,,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,Contractor,Messaging Solutions,Messaging Integration,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,FIN System Testing,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,FIN System Testing,IT,TechDay
,,,,,,,Block Chain -- Deepak Janardhanan,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,Staff,FIN Service Delivery,FIN Delivery,Operations,TechDay
,,,,,,My Standards (Webex) -- Nicolas Ernotte,Block Chain -- Deepak Janardhanan,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,My Standards (Webex) -- Nicolas Ernotte,Staff,FIN Service Delivery,FIN Delivery,Operations,TechDay
,,,,,,My Standards (Webex) -- Nicolas Ernotte,Block Chain -- Deepak Janardhanan,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,My Standards (Webex) -- Nicolas Ernotte,Staff,FIN Service Delivery,FIN Delivery,Operations,TechDay
,,,,,,,,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),,Staff,Messaging Solutions,Database Systems,IT,TechDay
,,,,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Open Stack -- Michael Solberg (Red Hat),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Product Assurance & Certification,SWIFTNet & SNL Testing,IT,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Manager,"Operations Strategy, Programs & Services",Regression Testing,Operations,TechDay
,,,,,,Business Intelligence -- Pieter Camps,External Threat Intelligence --Byron Thatcher,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Contractor,Product Assurance & Certification,SWIFTNet & SNL Testing,IT,TechDay
,,,,,,Business Intelligence -- Pieter Camps,External Threat Intelligence --Byron Thatcher,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Contractor,Product Assurance & Certification,SWIFTNet & SNL Testing,IT,TechDay
,,,,,,,,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,Contractor,Product Assurance & Certification,SWIFTNet & SNL Testing,IT,TechDay
,,,,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Technology Management,OSS Network Dev/Maint,IT,TechDay
,,,,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Block Chain -- Deepak Janardhanan,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Manager,Security Operations,Security Service Delivery,Operations,TechDay
,,,,,,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,SCP - UNN,IT,TechDay
,,,,,My Standards (Webex) -- Nicolas Ernotte,,,,,,Staff,Strategic Architecture,Technology Roadmap,IT,TechDay
,,,,,Innovation on Data Centers -- David Nalley (External),,,,,,Staff,Messaging Solutions,Messaging Integration,IT,TechDay
,,,,,Business Intelligence -- Pieter Camps,,,,,Block Chain -- Deepak Janardhanan,Staff,CISO,"Security Policies, Intelligence&Response",IT,TechDay
,,,,,Containers -- Red Hat (External),,,,,,Manager,Messaging Solutions,Messaging Security & Infrastruc.Projects,IT,TechDay
,,,,,Distributed Ledgers -- Jerry Kickenson,,,,,Distributed Ledgers -- Jerry Kickenson,Staff,Strategic Architecture,Technology Roadmap,IT,TechDay
,,,,,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,,,,,Block Chain -- Deepak Janardhanan,Staff,DA & FIN Delivery,SCP - UNN,IT,TechDay
,,,,,External Threat Intelligence --Byron Thatcher,,,,,External Threat Intelligence --Byron Thatcher,Staff,Strategic Architecture,Technology Roadmap,IT,TechDay
,,,,,Block Chain -- Deepak Janardhanan,,,,,,Staff,Strategic Architecture,Requirements & Methodology Engineering,IT,TechDay
,,,,,My Standards (Webex) -- Nicolas Ernotte,,,,,New Payment Platform -- Kumar Venkataramiah,Staff,Enterprise Application Solutions,"Infrastructure, Architecture & Analysis",IT,TechDay
,,,,,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,,,,,Block Chain -- Deepak Janardhanan,Staff,Technology Management,OSS Tools Dev/Maint,IT,TechDay
,,,,,Block Chain -- Deepak Janardhanan,,,,,,Staff,CISO,Security Risk Management,IT,TechDay
,,,,,My Standards (Webex) -- Nicolas Ernotte,,,,,,Staff,Technology Management,Configuration Management,IT,TechDay
,,,,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,,,,,Staff,Messaging and Application Delivery,Messaging,Marketing,TechDay
,,,,,New Payment Platform -- Kumar Venkataramiah,,,,,,Staff,Technology Management,COTS Problem Management,IT,TechDay
,,,,,Distributed Ledgers -- Jerry Kickenson,,,,,New Payment Platform -- Kumar Venkataramiah,Manager,Messaging Solutions,SWIFTNet Link,IT,TechDay
,,,,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,,,,,Staff,Technology Management,OSS Foundation & Security Dev/Maint,IT,TechDay
,,,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,,,Manager,Internal Audit,Americas Audit,Internal Audit,TechDay
,,,,,Open Stack -- Michael Solberg (Red Hat),,,,,Block Chain -- Deepak Janardhanan,Manager,DA & FIN Delivery,SCP - UNN,IT,TechDay
,,,,,Open Stack -- Michael Solberg (Red Hat),,,,,Distributed Ledgers -- Jerry Kickenson,Staff,DA & FIN Delivery,Centre of Expertise,IT,TechDay
,,,,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,,,,Distributed Ledgers -- Jerry Kickenson,Staff,Messaging Solutions,Messaging Integration,IT,TechDay
,,,,,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,,,,,External Threat Intelligence --Byron Thatcher,Staff,CISO,Security Risk Management,IT,TechDay
